Cust_id,Time_Section_Clothing,Time_Section_Electronics,Time_Section_Snacks,Time_Section_Sports,PickUp Products,Pref_cat
954,0.34,0.51,0.64,0.37,Car stereo system,Electronics
955,0.65,0.11,0.77,0.95,GPS navigation device,Electronics
956,0.11,0.43,0.46,0.75,Coffee maker with grinder,Electronics
957,0.7,0.7,0.08,0.61,Drone,Electronics
958,0.04,0.71,0.05,0.25,Electric fan,Electronics
959,0.49,0.19,0.65,0.17,Television,Electronics
960,0.93,0.9,0.34,0.95,Home security camera,Electronics
961,0.88,0.8,0.65,0.19,Smart light bulbs,Electronics
962,0.43,0.93,0.11,0.96,Noise-cancelling headphones,Electronics
963,0.91,0.37,0.7,0.06,Tablet,Electronics
964,0.63,0.95,0.04,0.11,Electric blanket,Electronics
965,0.27,0.75,0.49,0.99,Satellite radio receiver,Electronics
966,0.83,0.61,0.93,0.47,Hair dryer,Electronics
967,0.46,0.25,0.88,0.45,Microwave oven,Electronics
968,0.84,0.17,0.43,0.79,Electric blanket,Electronics
969,0.51,0.95,0.91,0.09,Laptop,Electronics
970,0.11,0.19,0.63,0.21,Washing machine,Electronics
971,0.43,0.96,0.27,0.6,Tablet,Electronics
972,0.7,0.06,0.83,0.5,Weather station,Electronics
973,0.71,0.11,0.46,0.03,Television,Electronics
974,0.19,0.99,0.84,0.37,Electric shaver,Electronics
975,0.9,0.47,0.51,0.38,Portable air conditioner,Electronics
976,0.8,0.45,0.11,0.46,Portable DVD player,Electronics
977,0.93,0.79,0.43,0.82,Noise-cancelling headphones,Electronics
978,0.37,0.09,0.7,0.14,Baby monitor,Electronics
979,0.95,0.21,0.71,0.57,GPS navigation device,Electronics
980,0.75,0.6,0.19,0.1,Projector,Electronics
981,0.61,0.5,0.9,0.53,Washing machine,Electronics
982,0.25,0.03,0.8,0.47,Weather station,Electronics
983,0.17,0.37,0.93,0.72,Laptop,Electronics
984,0.95,0.38,0.37,0.53,USB hub,Electronics
985,0.19,0.46,0.95,0.54,Refrigerator,Electronics
986,0.96,0.82,0.75,0.52,Air purifier,Electronics
987,0.06,0.14,0.61,0.25,Electric kettle,Electronics
988,0.11,0.57,0.25,0.99,Fitness smart scale,Electronics
989,0.99,0.1,0.17,0.69,Action camera,Electronics
990,0.47,0.53,0.95,0.17,Electric toothbrush,Electronics
991,0.45,0.47,0.19,0.91,VR headset,Electronics
992,0.79,0.72,0.96,0.37,Refrigerator,Electronics
993,0.09,0.53,0.06,0.39,Fitness smart scale,Electronics
994,0.21,0.54,0.11,0.37,Blu-ray player,Electronics
995,0.6,0.52,0.99,0.36,Blu-ray player,Electronics
996,0.5,0.25,0.47,0.03,E-reader,Electronics
997,0.03,0.99,0.45,0.47,Satellite radio receiver,Electronics
998,0.37,0.69,0.79,0.8,Electric kettle,Electronics
999,0.38,0.17,0.09,0.4,Satellite radio receiver,Electronics
1000,0.46,0.91,0.21,0.69,Electric toothbrush,Electronics
1001,0.82,0.37,0.6,0.49,Home theater system,Electronics
1002,0.14,0.39,0.5,0.96,Washing machine,Electronics
1003,0.57,0.37,0.03,0.9,Washing machine,Electronics
1004,0.1,0.36,0.37,0.44,Fitness smart scale,Electronics
1005,0.53,0.03,0.38,0.47,Bluetooth speaker,Electronics
1006,0.47,0.47,0.46,0.8,E-reader,Electronics
1007,0.72,0.8,0.82,0.4,E-reader,Electronics
1009,0.53,0.4,0.14,0.69,Projector,Electronics
1010,0.54,0.69,0.57,0.49,Washing machine,Electronics
1011,0.52,0.49,0.1,0.96,Wireless headphones,Electronics
1012,0.25,0.96,0.53,0.9,Microwave oven,Electronics
1013,0.99,0.9,0.47,0.44,USB hub,Electronics
1014,0.69,0.44,0.72,0.4,Home security camera,Electronics
1015,0.17,0.47,0.53,0.69,Tablet,Electronics
1016,0.91,0.8,0.54,0.49,Television,Electronics
1017,0.37,0.4,0.52,0.96,Television,Electronics
1018,0.39,0.69,0.25,0.9,Portable power bank,Electronics
1019,0.37,0.49,0.99,0.44,Projector,Electronics
1020,0.36,0.96,0.69,0.47,Video doorbell,Electronics
1021,0.03,0.9,0.17,0.8,Home security camera,Electronics
1022,0.47,0.44,0.91,0.4,VR headset,Electronics
1023,0.8,0.4,0.37,0.69,Hair dryer,Electronics
1024,0.4,0.69,0.39,0.49,Smartphone,Electronics
1025,0.69,0.49,0.37,0.96,Blu-ray player,Electronics
1026,0.49,0.96,0.36,0.9,GPS navigation device,Electronics
1027,0.96,0.9,0.03,0.44,Car stereo system,Electronics
1028,0.9,0.44,0.47,0.49,Refrigerator,Electronics
1029,0.44,0.47,0.8,0.22,Washing machine,Electronics
1030,0.47,0.8,0.4,0.01,GPS navigation device,Electronics
1,0.8,0.4,0.69,0.45,E-reader,Electronics
2,0.4,0.69,0.49,0.53,Portable air conditioner,Electronics
3,0.69,0.49,0.96,0.58,Fitness tracker,Electronics
4,0.49,0.96,0.9,0.93,Wireless charging pad,Electronics
5,0.96,0.9,0.44,0.29,Fitness tracker,Electronics
6,0.9,0.44,0.47,0.93,Fitness tracker,Electronics
7,0.44,0.49,0.8,0.09,Portable DVD player,Electronics
8,0.4,0.22,0.4,0.63,Microwave oven,Electronics
9,0.69,0.01,0.69,0.86,Drone,Electronics
10,0.49,0.45,0.49,0.1,Projector,Electronics
11,0.96,0.53,0.96,0.48,Hair dryer,Electronics
12,0.9,0.58,0.9,0.33,Electric shaver,Electronics
13,0.44,0.93,0.44,0.57,Cordless phone,Electronics
14,0.47,0.29,0.4,1,Electric fan,Electronics
15,0.8,0.93,0.69,0.68,Television,Electronics
16,0.4,0.09,0.49,0.78,Blu-ray player,Electronics
17,0.69,0.63,0.96,0.14,Solar charger,Electronics
18,0.49,0.86,0.9,0.96,VR headset,Electronics
19,0.96,0.1,0.44,0.04,Cordless phone,Electronics
20,0.9,0.48,0.47,0.23,Baby monitor,Electronics
21,0.44,0.33,0.8,0.47,Fitness smart scale,Electronics
22,0.49,0.57,0.4,0.22,Television,Electronics
23,0.22,1,0.69,0.99,VR headset,Electronics
24,0.01,0.68,0.49,0.77,Portable DVD player,Electronics
25,0.45,0.78,0.96,0.38,Smart thermostat,Electronics
26,0.53,0.14,0.9,0.87,Portable power bank,Electronics
27,0.58,0.96,0.44,0.07,Gaming console,Electronics
28,0.08,0.31,0.87,0.75,Refrigerator,Electronics
29,0.21,0.81,0.72,0.74,Fitness tracker,Electronics
30,0.33,0.78,0.97,0.79,Refrigerator,Electronics
31,0.8,0.58,0.71,0.53,Smartphone,Electronics
32,0.53,0.31,0.92,0.76,Air purifier,Electronics
33,0.51,0.67,0.31,0.76,Tablet,Electronics
34,0.62,0.44,0.08,0.28,Car stereo system,Electronics
35,0.91,0.45,0.21,0.59,Digital camera,Electronics
36,0.46,0.53,0.33,0.79,Electric fan,Electronics
37,0.21,0.75,0.8,0.32,Electric fan,Electronics
38,0.59,0.74,0.53,0.83,Wireless charging pad,Electronics
39,0.76,0.79,0.51,0.63,Fitness tracker,Electronics
40,0.49,0.53,0.62,0.79,Smartwatch,Electronics
41,0.59,0.76,0.91,0.61,Smart light bulbs,Electronics
42,0.1,0.76,0.46,0.92,Television,Electronics
43,0.31,0.28,0.21,0.91,Action camera,Electronics
44,0.81,0.59,0.59,0.82,Electric fan,Electronics
45,0.78,0.79,0.76,0.01,Fitness smart scale,Electronics
46,0.58,0.32,0.49,0.12,Television,Electronics
47,0.31,0.83,0.59,0.46,Laptop,Electronics
48,0.67,0.63,0.1,0.47,Shuttlecocks,Sports
49,0.44,0.79,0.31,0.73,Wetsuit,Sports
50,0.45,0.61,0.81,0.08,Archery arrows,Sports
51,0.53,0.92,0.78,0.64,Tennis balls,Sports
52,0.75,0.91,0.58,0.99,Tennis grip tape,Sports
53,0.74,0.82,0.31,0.03,Yoga mat,Sports
54,0.79,0.01,0.67,0.33,Bowling ball,Sports
55,0.53,0.12,0.44,0.81,Dumbbells,Sports
56,0.76,0.46,0.45,0.21,Cycling helmet,Sports
57,0.76,0.47,0.53,0.2,Sports watch (fitness tracking),Sports
58,0.28,0.73,0.75,0.07,Archery arrows,Sports
59,0.59,0.08,0.74,0.15,Gymnastics leotard,Sports
60,0.79,0.64,0.79,0.06,Surfboard,Sports
61,0.32,0.99,0.53,0.59,Cycling jersey,Sports
62,0.83,0.03,0.76,0.85,Soccer ball,Sports
63,0.63,0.33,0.76,0.6,Skateboard,Sports
64,0.79,0.81,0.28,0.64,Wetsuit,Sports
65,0.61,0.21,0.59,0.77,Snowboard,Sports
66,0.92,0.2,0.79,0.46,Sports headbands,Sports
67,0.91,0.07,0.32,0.08,Beach volleyball,Sports
68,0.82,0.15,0.83,0.05,Baseball bat,Sports
69,0.01,0.06,0.63,0.65,Baseball,Sports
70,0.12,0.59,0.79,0.34,Baseball,Sports
71,0.46,0.85,0.61,0.65,Cycling jersey,Sports
72,0.47,0.6,0.92,0.11,Sports socks,Sports
73,0.73,0.64,0.91,0.7,Roller skates,Sports
74,0.08,0.77,0.82,0.04,Volleyball,Sports
75,0.64,0.46,0.01,0.49,Soccer ball,Sports
76,0.99,0.08,0.12,0.93,Cycling jersey,Sports
77,0.03,0.05,0.46,0.88,Golf clubs,Sports
78,0.33,0.65,0.47,0.43,Gymnastics leotard,Sports
79,0.81,0.34,0.73,0.91,Water bottle (hydration),Sports
80,0.21,0.65,0.08,0.63,Weightlifting gloves,Sports
81,0.2,0.11,0.64,0.27,Shuttlecocks,Sports
82,0.07,0.7,0.99,0.83,Volleyball,Sports
83,0.15,0.04,0.03,0.46,Gymnastics leotard,Sports
84,0.06,0.49,0.33,0.84,Badminton racket,Sports
85,0.59,0.93,0.81,0.51,Bowling ball,Sports
86,0.85,0.88,0.21,0.11,Yoga mat,Sports
87,0.6,0.43,0.2,0.43,Cycling jersey,Sports
88,0.64,0.91,0.07,0.7,Badminton racket,Sports
89,0.77,0.63,0.15,0.71,Baseball,Sports
90,0.46,0.27,0.06,0.19,Tennis balls,Sports
91,0.08,0.83,0.59,0.9,Wetsuit,Sports
92,0.05,0.46,0.85,0.8,Skateboard,Sports
93,0.65,0.84,0.6,0.93,Punching bag,Sports
94,0.34,0.51,0.64,0.37,Weightlifting gloves,Sports
95,0.65,0.11,0.77,0.95,Running shorts,Sports
96,0.11,0.43,0.46,0.75,Ping pong balls,Sports
97,0.7,0.7,0.08,0.61,Yoga mat,Sports
98,0.04,0.71,0.05,0.25,Tennis grip tape,Sports
99,0.49,0.19,0.65,0.17,Skiing goggles,Sports
100,0.93,0.9,0.34,0.95,Boxing gloves,Sports
101,0.88,0.8,0.65,0.19,Hockey stick,Sports
102,0.43,0.93,0.11,0.96,Climbing harness,Sports
103,0.91,0.37,0.7,0.06,Baseball bat,Sports
104,0.63,0.95,0.04,0.11,Punching bag,Sports
105,0.27,0.75,0.49,0.99,Weightlifting gloves,Sports
106,0.83,0.61,0.93,0.47,Water bottle (hydration),Sports
107,0.46,0.25,0.88,0.45,Shuttlecocks,Sports
108,0.84,0.17,0.43,0.79,Gymnastics leotard,Sports
109,0.51,0.95,0.91,0.09,Tennis grip tape,Sports
110,0.11,0.19,0.63,0.21,Running shorts,Sports
111,0.43,0.96,0.27,0.6,Snowboard,Sports
112,0.7,0.06,0.83,0.5,Yoga mat,Sports
113,0.71,0.11,0.46,0.03,Table tennis paddle,Sports
114,0.19,0.99,0.84,0.37,Beach volleyball,Sports
115,0.9,0.47,0.51,0.38,Climbing shoes,Sports
116,0.8,0.45,0.11,0.46,Baseball,Sports
117,0.93,0.79,0.43,0.82,Water bottle (hydration),Sports
118,0.37,0.09,0.7,0.14,Weightlifting gloves,Sports
119,0.95,0.21,0.71,0.57,Pedometer,Sports
120,0.75,0.6,0.19,0.1,Yoga mat,Sports
121,0.61,0.5,0.9,0.53,Punching bag,Sports
122,0.25,0.03,0.8,0.47,Water bottle (hydration),Sports
123,0.17,0.37,0.93,0.72,Climbing shoes,Sports
124,0.95,0.38,0.37,0.53,Yoga mat,Sports
125,0.19,0.46,0.95,0.54,Gymnastics leotard,Sports
126,0.96,0.82,0.75,0.52,Roller skates,Sports
127,0.06,0.14,0.61,0.25,Surfboard,Sports
128,0.11,0.57,0.25,0.99,Tennis grip tape,Sports
129,0.99,0.1,0.17,0.69,Swimming goggles,Sports
130,0.47,0.53,0.95,0.17,Sports backpack,Sports
131,0.45,0.47,0.19,0.91,Badminton racket,Sports
132,0.79,0.72,0.96,0.37,Gymnastics leotard,Sports
133,0.09,0.53,0.06,0.39,Beach volleyball,Sports
134,0.21,0.54,0.11,0.37,Table tennis paddle,Sports
135,0.6,0.52,0.99,0.36,Volleyball,Sports
136,0.5,0.25,0.47,0.03,Tennis balls,Sports
137,0.03,0.99,0.45,0.47,Ice skates,Sports
138,0.37,0.69,0.79,0.8,Ice skates,Sports
139,0.38,0.17,0.09,0.4,Ice skates,Sports
140,0.46,0.91,0.21,0.69,Ping pong balls,Sports
141,0.82,0.37,0.6,0.49,Baseball,Sports
142,0.14,0.39,0.5,0.96,Kickboard (swimming),Sports
143,0.57,0.37,0.03,0.9,Running shorts,Sports
144,0.1,0.36,0.37,0.44,Bowling ball,Sports
145,0.53,0.03,0.38,0.47,Climbing shoes,Sports
146,0.47,0.47,0.46,0.8,Sports socks,Sports
147,0.72,0.8,0.82,0.4,Weightlifting gloves,Sports
148,0.53,0.4,0.14,0.69,Baseball bat,Sports
149,0.54,0.69,0.57,0.49,Running shorts,Sports
150,0.52,0.49,0.1,0.96,Ping pong balls,Sports
151,0.25,0.96,0.53,0.9,Resistance bands,Sports
152,0.99,0.9,0.47,0.44,Sports headbands,Sports
153,0.69,0.44,0.72,0.4,Sports socks,Sports
154,0.17,0.47,0.53,0.69,Resistance bands,Sports
155,0.91,0.8,0.54,0.49,Swimming goggles,Sports
156,0.37,0.4,0.52,0.96,Surfboard,Sports
157,0.39,0.69,0.25,0.9,Basketball,Sports
158,0.37,0.49,0.99,0.44,Shuttlecocks,Sports
159,0.36,0.96,0.69,0.47,Beach volleyball,Sports
160,0.03,0.9,0.17,0.8,Beach volleyball,Sports
161,0.47,0.44,0.91,0.4,Sports watch (fitness tracking),Sports
162,0.8,0.4,0.37,0.69,Cycling helmet,Sports
163,0.4,0.69,0.39,0.49,Climbing harness,Sports
164,0.69,0.49,0.37,0.96,Golf clubs,Sports
165,0.49,0.96,0.36,0.9,Running shoes,Sports
166,0.96,0.9,0.03,0.44,Soccer ball,Sports
167,0.9,0.44,0.47,0.49,Surfboard,Sports
168,0.44,0.47,0.8,0.22,Ice skates,Sports
169,0.47,0.8,0.4,0.01,Golf balls,Sports
170,0.8,0.4,0.69,0.45,Climbing harness,Sports
171,0.4,0.69,0.49,0.53,Basketball,Sports
172,0.69,0.49,0.96,0.58,Swimming goggles,Sports
173,0.49,0.96,0.9,0.93,Gymnastics leotard,Sports
174,0.96,0.9,0.44,0.29,Basketball,Sports
175,0.9,0.44,0.47,0.93,Soccer ball,Sports
176,0.44,0.49,0.8,0.09,Beach volleyball,Sports
177,0.57,0.37,0.03,0.9,Ping pong balls,Sports
178,0.1,0.36,0.37,0.44,Ice skates,Sports
179,0.53,0.03,0.38,0.47,Sports headbands,Sports
180,0.47,0.47,0.46,0.8,Jump rope,Sports
181,0.72,0.8,0.82,0.4,Volleyball,Sports
182,0.31,0.83,0.59,0.46,Hockey stick,Sports
183,0.67,0.63,0.1,0.47,Resistance bands,Sports
184,0.44,0.79,0.31,0.73,Football,Sports
185,0.45,0.61,0.81,0.08,Weightlifting gloves,Sports
186,0.53,0.92,0.78,0.64,Golf clubs,Sports
187,0.75,0.91,0.58,0.99,Sports socks,Sports
188,0.74,0.82,0.31,0.03,Football,Sports
189,0.79,0.01,0.67,0.33,Skiing goggles,Sports
190,0.53,0.12,0.44,0.81,Sports socks,Sports
191,0.76,0.46,0.45,0.21,Boxing gloves,Sports
192,0.76,0.47,0.53,0.2,Surfboard,Sports
193,0.28,0.73,0.75,0.07,Beach volleyball,Sports
194,0.59,0.08,0.74,0.15,Ping pong balls,Sports
195,0.79,0.64,0.79,0.06,Kickboard (swimming),Sports
196,0.32,0.99,0.53,0.59,Volleyball,Sports
197,0.83,0.03,0.76,0.85,Tennis balls,Sports
198,0.63,0.33,0.76,0.6,Jump rope,Sports
199,0.79,0.81,0.28,0.64,Gymnastics leotard,Sports
200,0.61,0.21,0.59,0.77,Volleyball,Sports
201,0.92,0.2,0.79,0.46,Badminton racket,Sports
202,0.91,0.07,0.32,0.08,Resistance bands,Sports
203,0.82,0.15,0.83,0.05,Frisbee,Sports
204,0.01,0.06,0.63,0.65,Sports headbands,Sports
205,0.12,0.59,0.79,0.34,Volleyball,Sports
206,0.46,0.85,0.61,0.65,Swimming goggles,Sports
207,0.47,0.6,0.92,0.11,Surfboard,Sports
208,0.73,0.64,0.91,0.7,Archery bow,Sports
209,0.08,0.77,0.82,0.04,Sports headbands,Sports
210,0.64,0.46,0.01,0.49,Soccer ball,Sports
211,0.99,0.08,0.12,0.93,Weightlifting gloves,Sports
213,0.03,0.05,0.46,0.88,Archery bow,Sports
214,0.33,0.65,0.47,0.43,Dumbbells,Sports
215,0.81,0.34,0.73,0.91,Wetsuit,Sports
216,0.21,0.65,0.08,0.63,Cycling jersey,Sports
217,0.2,0.11,0.64,0.27,Ping pong balls,Sports
218,0.07,0.7,0.99,0.83,Golf clubs,Sports
219,0.15,0.04,0.03,0.46,Skateboard,Sports
220,0.06,0.49,0.33,0.84,Climbing shoes,Sports
221,0.59,0.93,0.81,0.51,Wetsuit,Sports
222,0.85,0.88,0.21,0.11,Sports headbands,Sports
223,0.6,0.43,0.2,0.43,Gymnastics leotard,Sports
224,0.64,0.91,0.07,0.7,Cycling helmet,Sports
225,0.77,0.63,0.15,0.71,Boxing gloves,Sports
226,0.46,0.27,0.06,0.19,Baseball bat,Sports
227,0.08,0.83,0.59,0.9,Sports headbands,Sports
228,0.05,0.46,0.85,0.8,Sports watch (fitness tracking),Sports
229,0.65,0.84,0.6,0.93,Running shoes,Sports
230,0.34,0.51,0.64,0.37,Running shorts,Sports
231,0.65,0.11,0.77,0.95,Pedometer,Sports
232,0.11,0.43,0.46,0.75,Tennis racket,Sports
233,0.7,0.7,0.08,0.61,Surfboard,Sports
234,0.04,0.71,0.05,0.25,Ping pong balls,Sports
235,0.49,0.19,0.65,0.17,Shuttlecocks,Sports
236,0.93,0.9,0.34,0.95,Badminton racket,Sports
237,0.88,0.8,0.65,0.19,Tennis grip tape,Sports
238,0.43,0.93,0.11,0.96,Roller skates,Sports
239,0.91,0.37,0.7,0.06,Archery arrows,Sports
240,0.63,0.95,0.04,0.11,Sports headbands,Sports
241,0.27,0.75,0.49,0.99,Kickboard (swimming),Sports
242,0.83,0.61,0.93,0.47,Jump rope,Sports
243,0.46,0.25,0.88,0.45,Tennis racket,Sports
244,0.84,0.17,0.43,0.79,Swimming goggles,Sports
245,0.51,0.95,0.91,0.09,Tennis balls,Sports
246,0.11,0.19,0.63,0.21,Golf clubs,Sports
247,0.43,0.96,0.27,0.6,Tennis balls,Sports
248,0.7,0.06,0.83,0.5,Boxing gloves,Sports
249,0.71,0.11,0.46,0.03,Swimming goggles,Sports
250,0.19,0.99,0.84,0.37,Sports watch (fitness tracking),Sports
251,0.9,0.47,0.51,0.38,Sports headbands,Sports
252,0.8,0.45,0.11,0.46,Climbing shoes,Sports
253,0.93,0.79,0.43,0.82,Gymnastics leotard,Sports
254,0.37,0.09,0.7,0.14,Baseball bat,Sports
255,0.95,0.21,0.71,0.57,Weightlifting gloves,Sports
256,0.75,0.6,0.19,0.1,Ice skates,Sports
257,0.61,0.5,0.9,0.53,Tennis grip tape,Sports
259,0.25,0.03,0.8,0.47,Punching bag,Sports
260,0.17,0.37,0.93,0.72,Badminton racket,Sports
261,0.95,0.38,0.37,0.53,Skateboard,Sports
262,0.19,0.46,0.95,0.54,Ice skates,Sports
263,0.96,0.82,0.75,0.52,Ice skates,Sports
264,0.06,0.14,0.61,0.25,Skiing goggles,Sports
265,0.11,0.57,0.25,0.99,Pedometer,Sports
266,0.99,0.1,0.17,0.69,Football,Sports
267,0.47,0.53,0.95,0.17,Shuttlecocks,Sports
268,0.45,0.47,0.19,0.91,Wetsuit,Sports
269,0.79,0.72,0.96,0.37,Volleyball,Sports
270,0.09,0.53,0.06,0.39,Volleyball,Sports
271,0.21,0.54,0.11,0.37,Shuttlecocks,Sports
272,0.6,0.52,0.99,0.36,Sports backpack,Sports
273,0.5,0.25,0.47,0.03,Climbing shoes,Sports
274,0.03,0.99,0.45,0.47,Running shorts,Sports
275,0.37,0.69,0.79,0.8,Soccer ball,Sports
276,0.38,0.17,0.09,0.4,Sports socks,Sports
277,0.46,0.91,0.21,0.69,Yogurt-covered pretzels,Snack
278,0.82,0.37,0.6,0.49,Mini fruit pies,Snack
279,0.14,0.39,0.5,0.96,Fruit cups,Snack
280,0.57,0.37,0.03,0.9,Cheese sticks,Snack
281,0.1,0.36,0.37,0.44,Sliced cheese with whole wheat crackers,Snack
282,0.53,0.03,0.38,0.47,"Nuts (almonds, peanuts, cashews)",Snack
283,0.47,0.47,0.46,0.8,Rings,Clothing
284,0.72,0.8,0.82,0.4,Caps,Clothing
285,0.53,0.4,0.14,0.69,Hair accessories,Clothing
286,0.54,0.69,0.57,0.49,Traditional clothing,Clothing
287,0.52,0.49,0.1,0.96,Jeans,Clothing
288,0.25,0.96,0.53,0.9,Formal shirts,Clothing
289,0.99,0.9,0.47,0.44,Hats,Clothing
290,0.69,0.44,0.72,0.4,Rompers,Clothing
291,0.17,0.47,0.53,0.69,Trench coats,Clothing
292,0.91,0.8,0.54,0.49,Sportswear,Clothing
293,0.37,0.4,0.52,0.96,Keychains,Clothing
294,0.39,0.69,0.25,0.9,Formal shirts,Clothing
295,0.37,0.49,0.99,0.44,Hair accessories,Clothing
296,0.36,0.96,0.69,0.47,Sweaters,Clothing
297,0.03,0.9,0.17,0.8,Jewelry,Clothing
298,0.47,0.44,0.91,0.4,Hoodies,Clothing
299,0.8,0.4,0.37,0.69,Hoodies,Clothing
300,0.4,0.69,0.39,0.49,Stilettos,Clothing
301,0.69,0.49,0.37,0.96,Handbags,Clothing
302,0.49,0.96,0.36,0.9,Workout clothes,Clothing
303,0.96,0.9,0.03,0.44,Stilettos,Clothing
304,0.9,0.44,0.47,0.49,Flats,Clothing
305,0.44,0.47,0.8,0.22,Skirts,Clothing
306,0.47,0.8,0.4,0.01,Work uniforms,Clothing
307,0.8,0.4,0.69,0.45,Cufflinks,Clothing
308,0.4,0.69,0.49,0.53,Kimonos,Clothing
309,0.69,0.49,0.96,0.58,Flats,Clothing
310,0.49,0.96,0.9,0.93,Pants,Clothing
311,0.96,0.9,0.44,0.29,Skirts,Clothing
312,0.9,0.44,0.47,0.93,Tuxedos,Clothing
313,0.44,0.49,0.8,0.09,Cosplay outfits,Clothing
314,0.4,0.22,0.4,0.63,Robes,Clothing
315,0.69,0.01,0.69,0.86,Jeans,Clothing
316,0.49,0.45,0.49,0.1,Tie clips,Clothing
317,0.96,0.53,0.96,0.48,Caps,Clothing
318,0.9,0.58,0.9,0.33,Formal shirts,Clothing
319,0.44,0.93,0.44,0.57,Jewelry,Clothing
320,0.47,0.29,0.4,1,Tuxedos,Clothing
321,0.8,0.93,0.69,0.68,Cardigans,Clothing
322,0.4,0.09,0.49,0.78,Formalwear,Clothing
323,0.69,0.63,0.96,0.14,Traditional clothing,Clothing
324,0.49,0.86,0.9,0.96,Winter jackets,Clothing
325,0.96,0.1,0.44,0.04,Leotards & tights,Clothing
326,0.9,0.48,0.47,0.23,Dancewear,Clothing
327,0.44,0.33,0.8,0.47,Jumpsuits,Clothing
328,0.49,0.57,0.4,0.22,Bras,Clothing
329,0.22,1,0.69,0.99,Cardigans,Clothing
330,0.01,0.68,0.49,0.77,Kilts,Clothing
331,0.45,0.78,0.96,0.38,Ties & bow ties,Clothing
332,0.53,0.14,0.9,0.87,Heels,Clothing
333,0.58,0.96,0.44,0.07,Clutches,Clothing
334,0.31,0.83,0.59,0.46,Watches,Clothing
335,0.67,0.63,0.1,0.47,Dancewear,Clothing
336,0.44,0.79,0.31,0.73,Dresses,Clothing
337,0.45,0.61,0.81,0.08,Wallets,Clothing
338,0.53,0.92,0.78,0.64,Trench coats,Clothing
339,0.75,0.91,0.58,0.99,Heels,Clothing
340,0.74,0.82,0.31,0.03,Pants,Clothing
341,0.79,0.01,0.67,0.33,Uniforms,Clothing
342,0.53,0.12,0.44,0.81,Kimonos,Clothing
343,0.76,0.46,0.45,0.21,Tuxedos,Clothing
344,0.76,0.47,0.53,0.2,Parkas,Clothing
345,0.28,0.73,0.75,0.07,Watches,Clothing
346,0.59,0.08,0.74,0.15,Clutches,Clothing
347,0.79,0.64,0.79,0.06,Raincoats,Clothing
348,0.32,0.99,0.53,0.59,Leggings,Clothing
349,0.83,0.03,0.76,0.85,Sweaters,Clothing
350,0.63,0.33,0.76,0.6,Uniforms,Clothing
351,0.79,0.81,0.28,0.64,Jumpsuits,Clothing
352,0.61,0.21,0.59,0.77,Prescription glasses,Clothing
353,0.92,0.2,0.79,0.46,Formalwear,Clothing
354,0.91,0.07,0.32,0.08,Sarees,Clothing
355,0.82,0.15,0.83,0.05,Performance wear,Clothing
356,0.01,0.06,0.63,0.65,Work gloves,Clothing
357,0.12,0.59,0.79,0.34,Dancewear,Clothing
358,0.46,0.85,0.61,0.65,Rings,Clothing
359,0.47,0.6,0.92,0.11,Hair accessories,Clothing
360,0.73,0.64,0.91,0.7,Stilettos,Clothing
361,0.08,0.77,0.82,0.04,Hats,Clothing
362,0.64,0.46,0.01,0.49,Wallets,Clothing
363,0.99,0.08,0.12,0.93,Denim jackets,Clothing
364,0.03,0.05,0.46,0.88,Bracelets,Clothing
365,0.33,0.65,0.47,0.43,Dancewear,Clothing
366,0.81,0.34,0.73,0.91,Formalwear,Clothing
367,0.21,0.65,0.08,0.63,Raincoats,Clothing
368,0.2,0.11,0.64,0.27,Workout clothes,Clothing
369,0.07,0.7,0.99,0.83,Robes,Clothing
370,0.15,0.04,0.03,0.46,Tie clips,Clothing
371,0.06,0.49,0.33,0.84,Ties & bow ties,Clothing
372,0.59,0.93,0.81,0.51,Performance wear,Clothing
373,0.85,0.88,0.21,0.11,Sandals,Clothing
374,0.6,0.43,0.2,0.43,Keychains,Clothing
375,0.64,0.91,0.07,0.7,Bracelets,Clothing
376,0.77,0.63,0.15,0.71,Dancewear,Clothing
377,0.46,0.27,0.06,0.19,Windbreakers,Clothing
378,0.08,0.83,0.59,0.9,Sneakers,Clothing
379,0.05,0.46,0.85,0.8,Winter jackets,Clothing
380,0.65,0.84,0.6,0.93,Sweaters,Clothing
381,0.34,0.51,0.64,0.37,Jewelry,Clothing
382,0.65,0.11,0.77,0.95,Windbreakers,Clothing
383,0.11,0.43,0.46,0.75,Cardigans,Clothing
384,0.7,0.7,0.08,0.61,Denim jackets,Clothing
385,0.04,0.71,0.05,0.25,Winter jackets,Clothing
386,0.49,0.19,0.65,0.17,Rompers,Clothing
387,0.93,0.9,0.34,0.95,Caps,Clothing
388,0.88,0.8,0.65,0.19,Kimonos,Clothing
389,0.43,0.93,0.11,0.96,Handbags,Clothing
390,0.91,0.37,0.7,0.06,Swimwear,Clothing
391,0.63,0.95,0.04,0.11,Heels,Clothing
392,0.27,0.75,0.49,0.99,Dancewear,Clothing
393,0.83,0.61,0.93,0.47,Sweaters,Clothing
394,0.46,0.25,0.88,0.45,Hoodies,Clothing
395,0.84,0.17,0.43,0.79,Loafers,Clothing
396,0.51,0.95,0.91,0.09,Handbags,Clothing
397,0.11,0.19,0.63,0.21,Winter jackets,Clothing
398,0.43,0.96,0.27,0.6,Kilts,Clothing
399,0.7,0.06,0.83,0.5,Sneakers,Clothing
